B B
C1=CCCC=CCCCC=CCC1 C1=CCCCC=CC[CH2:1]C=CCC1
C1=CCCC=CCCCCC=CCC1 C1=CCCC=CC[CH2:1]CCC=CCC1
C1=CCCC=CCCCCC=CCC1 C1=CCCC=CC[CH2:1][CH2:1]CC=CCC1
C1=CCCC=CCCCCC=CCC1 C1=CCCC=C[CH2:1]CCCC=CCC1
C1=CCCC=CCCCCC=CCC1 C1=CCCC=C[CH2:1][CH2:1]CCC=CCC1
C1=CCCC=CCCCCC=CCC1 C1=CCCC=[CH:1]CCCCC=CCC1
C1=CCCC=CCCCCC=CCC1 C1=CCCCCC=CCC[CH:1]=CCC1
C1=CCCC=CCCCCC=CCC1 C1=CCCCCC=[CH:1]CCC=CCC1
C1=CCCC=CCCCCCC=C1 C1=CCCC=[CH:1]CCCCCC=C1
C1=CCCC=CCCCCCC=C1 C1=CCCCCCC=C[CH2:1]CC=C1
C1=CCCC=CCCCCCC=C1 C1=CCCCCC[CH:1]=[CH:1][CH2:1]CC=C1
C1=CCCC=CCCCCCC=CC1 C1=CCCC=CCC[CH2:1]CCC=CC1
C1=CCCC=CCCCCCC=CC1 C1=CCCC=CC[CH2:1]CCCC=CC1
C1=CCCC=CCCCCCC=CC1 C1=CCCC=C[CH2:1]CCCCC=CC1
C1=CCCC=CCCCCCC=CC1 C1=CCCC=C[CH2:1][CH2:1]CCCC=CC1
C1=CCCC=CCCCCCC=CC1 C1=CCCCCCC=CC[CH:1]=CCC1
C1=CCCC=CCCCCCC=CC1 C1=CCCCCCC=[CH:1]CCC=CC1
C1=CCCC=CCCCCCC=COC=C1 C1=CCC[CH:1]=CCCCCCC=COC=C1
C1=CCCC=CCCCCCCC=C1 C1=CCCC=CCCCCCC[CH:1]=C1
C1=CCCC=CCCCCCCC=C1 C1=CCCC=CCCCCC[CH2:1]C=C1
C1=CCCC=CCCCCCCC=C1 C1=CCCC=CCCCC[CH2:1]CC=C1
C1=CCCC=CCCCCCCC=C1 C1=CCCCCCCC=CCC[CH:1]=C1
C1=CCCC=CCCCCCCC=C1 C1=CCCCCCCC=[CH:1]CCC=C1
C1=CCCC=CCCCCCCC=CC=CCCCCOCC=C1 C1=CCCC=CCCCCCCC=CC=CCCC[CH2:1]OCC=C1
C1=CCCC=CCCCCCCC=CCNCC=C1 C1=CCCC=CCCCCCCC=C[CH2:1]NCC=C1
C1=CCCC=CCCCCCCC=CCNCC=C1 C1=CCCC=CCCCCCC[CH:1]=CCNCC=C1
C1=CCCC=CCCCCCCC=CCNCC=C1 C1=CCCC=CCCCCCC[CH:1]=[CH:1][CH2:1]NCC=C1
C1=CCCC=CCCCCCCC=CCNCC=C1 C1=CCNCC=CCCCCCCC=CC[CH2:1]C=C1
C1=CCCC=CCCCCCCC=COCC=C1 C1=CCCC=CCCCCCCC=[CH:1]OCC=C1
C1=CCCC=CCCCCCCCC=CNCC=C1 C1=CCCC=CCCCCCCCC=[CH:1]NCC=C1
C1=CCCC=CCCCCCCCC=CNCC=C1 C1=CCCC=CCCCCCC[CH2:1]C=CNCC=C1
C1=CCCC=CCCCCCCCC=CNCC=C1 C1=CCCC=CCCCCCC[CH2:1][CH:1]=[CH:1]NCC=C1
C1=CCCC=CCCCCCCCC=CNCC=C1 C1=CCCC=CCC[CH2:1]CCCCC=CNCC=C1
C1=CCCC=CCCCCCCCC=CNCC=C1 C1=CCNC=CCCCCCCCC=CC[CH2:1]C=C1
C1=CCCC=CCCCCCCCCCNCC=C1 C1=CCCC=CCCCCCCCCC[NH:1]CC=C1
C1=CCCC=CCCCCCCCCCNCC=C1 C1=CCCC=CCCCCCCCC[CH2:1]NCC=C1
C1=CCCC=CCCCCCCCCCNCC=C1 C1=CCCC=CCCCCCC[CH2:1]CCNCC=C1
C1=CCCC=CCCCCCCCCCNCC=C1 C1=CCCC=CCCCCCC[CH2:1][CH2:1][CH2:1]NCC=C1
C1=CCCC=CCCCCCCCCCNCC=C1 C1=CCCC=CCC[CH2:1]CCCCCCNCC=C1
C1=CCCC=CCCCCCCCCCNCC=C1 C1=CCCC=CC[CH2:1]CCCCCCCNCC=C1
C1=CCCC=CCCCCCCCCCNCC=C1 C1=CCNCCCCCCCCCC=CC[CH2:1]C=C1
C1=CCCC=CCCCCCCCCCNCC=C1 C1=CCNCCCCCCCCCC=C[CH2:1]CC=C1
C1=CCCC=CCCCCCNCC=NCC=C1 C1=CCCC=[CH:1]CCCCCNCC=NCC=C1
C1=CCCC=CCCCCCNCC=NCC=C1 C1=CCN=CCNCCCCCC=CC[CH2:1]C=C1
C1=CCCC=CCCCCCNCC=NCC=C1 C1=CCN=CCNCCCCCC=C[CH2:1]CC=C1
C1=CCCC=CCCCCOC=C1 C1=CCCC=CCCC[CH2:1]OC=C1
C1=CCCC=CCCCCOC=C1 C1=CCCC=CCC[CH2:1]COC=C1
C1=CCCC=CCCCCOCCCC=C1 C1=CCCC=CCCCCOCC[CH2:1]C=C1
C1=CCCC=CCCCCOCCCC=C1 C1=CCCC=CCCCCOC[CH2:1]CC=C1
C1=CCCC=CCCCCOCCCC=C1 C1=CCCC=CCCCCOC[CH2:1][CH2:1]C=C1
C1=CCCC=CCCCCOCCCC=C1 C1=CCCC=CCCC[CH2:1]OCCCC=C1
C1=CCCC=CCCCCOCCCC=C1 C1=CCCC=CC[CH2:1]CCOCCCC=C1
C1=CCCC=CCCCCOCCCC=C1 C1=CCCC=CC[CH2:1][CH2:1][CH2:1]OCCCC=C1
C1=CCCC=CCCCCOCCCC=C1 C1=CCCCOCCCCC=C[CH2:1]CC=C1
C1=CCCC=CCCCCOCCCC=C1 C1=CCCCOCCCCC=[CH:1]CCC=C1
C1=CCCC=CCCCNCCNCCC=CC1 C1=CCCC=CCCCNCCN[CH2:1]CC=CC1
C1=CCCC=CCCCOCC=C1 C1=CCCCOCC=C[CH:1]=CCC1
C1=CCCC=CCCCOCCC=CC1 C1=CCCC=CCC[CH2:1]OCCC=CC1
C1=CCCC=CCCC[SH+]NCC=NCC=C1 C1=CCCC=CCC[CH2:1][SH+]NCC=NCC=C1
C1=CCCC=CCCC[SH+]NCC=NCC=C1 C1=CCCC=[CH:1]CCC[SH+]NCC=NCC=C1
C1=CCCC=CCCC[SH+]NCC=NCC=C1 C1=CCN=CCN[SH+]CCCC=C[CH2:1]CC=C1
C1=CCCC=CCCNC=CC=[NH+]CC=CC=CCCC=CCC[NH+]=CC=CNCC=C1 C1=CCCC=CCCN[CH:1]=CC=[NH+]CC=CC=CCCC=CCC[NH+]=CC=CNCC=C1
C1=CCCC=CCCNC=CC=[NH+]CC=CC=CCN=CCC=CCC[NH+]=CC=CNCC=C1 C1=CCCC=CCCNC=CC=[NH+]CC=CC=CCN=[CH:1]CC=CCC[NH+]=CC=CNCC=C1
C1=CCCC=CCCNC=CC=[NH+]CCC=CCCC=CC=CC[NH+]=CC=CNCC=C1 C1=CCCC=CCCN[CH:1]=CC=[NH+]CCC=CCCC=CC=CC[NH+]=CC=CNCC=C1
C1=CCCC=CCCNCC=C[NH2+]CC=CC=CCCC=CCC[NH+]=CC=CNCC=C1 C1=CCCC=CCCNCC=[CH:1][NH2+]CC=CC=CCCC=CCC[NH+]=CC=CNCC=C1
C1=CCCC=CCCNCC=C[NH2+]CCC=CCCC=CC=CC[NH+]=CC=CNCC=C1 C1=CCCC=CCCNCC=[CH:1][NH2+]CCC=CCCC=CC=CC[NH+]=CC=CNCC=C1
C1=CCCC=CCCOC=CCCCCC=COC=C1 C1=COC=CCCCCC=COCCC=CCC[CH:1]=C1
C1=CCCC=CCCOCC=CCCOCC=C1 C1=CCCC=CCCO[CH2:1]C=CCCOCC=C1
C1=CCCC=CCCOCC=CCCOCC=C1 C1=CCCC=CC[CH2:1]OCC=CCCOCC=C1
C1=CCCC=CCCOCC=CCCOCC=C1 C1=CCCC=CC[CH2:1][O:1][CH2:1]C=CCCOCC=C1
C1=CCCC=CCC[NH+]=CC=CNCCC=CCCCC=CCCNC=CC=[NH+]CC=C1 C1=CCCC=CCC[NH+]=CC=[CH:1]NCCC=CCCCC=CCCNC=CC=[NH+]CC=C1
C1=CCCC=CCC[NH+]=CC=CNCCCCCCCCCCNC=CC=[NH+]CC=C1 C1=CCCC=CCC[NH+]=CC=CNCCCCCCCCCCN[CH:1]=CC=[NH+]CC=C1
C1=CCCC=CCC[NH+]=CC=CNCCCCCCCCCCNC=CC=[NH+]CC=C1 C1=CCCC=CCC[NH+]=CC=[CH:1]NCCCCCCCCCCNC=CC=[NH+]CC=C1
C1=CCCC=CCC[NH+]=CNCC=CC=CSC=CC=CCNC=[NH+]CC=C1 C1=CCNC=[NH+]CC=CC=C[CH2:1]CC=CCC[NH+]=CNCC=CC=CSC=C1
C1=CCCC=CCC[NH+]=CNCC=CC=CSCC=CCCNC=[NH+]CC=C1 C1=CCNC=[NH+]CCC=CC[CH2:1]C=CC=CC[NH+]=CNCCC=CCSC=C1
C1=CCCC=CCC[NH2+]C=CCNCCC=CCCCC=CCCNC=CC=[NH+]CC=C1 C1=CCCC=CCC[NH2+][CH:1]=CCNCCC=CCCCC=CCCNC=CC=[NH+]CC=C1
C1=CCCC=CCNCC=CC1 C1=CCCC=CCNC[CH:1]=CC1
C1=CCCC=CCNCC=CC1 C1=CCNCC=[CH:1]CC=CCC1
C1=CCCC=CCNCC=CC1 C1=CCNC[CH:1]=[CH:1]CC=CCC1
C1=CCCC=CCNCCOCCC=CCC1 C1=CCCC=CC[CH2:1]OCCNCC=CCC1
C1=CCCC=CCOC=CC=CCCCC=COC=C1 C1=CCCC=C[CH2:1]OC=CC=CCCCC=COC=C1
C1=CCCC=CCOC=CC=CCCCCC=C1 C1=CCCC=CCOC=CC=CCCC[CH2:1]C=C1
C1=CCCC=CCOC=CC=CCCCCC=C1 C1=CCCCCC=CC=COCC=[CH:1]CCC=C1
C1=CCCC=CCOC=CC=CCCCCC=C1 C1=CCCCCC=CC=[CH:1]CCC=CCOC=C1
C1=CCCC=CCOC=CCCCC=C1 C1=CCCC=CCOC=CCC[CH2:1]C=C1
C1=CCCC=CCOC=CCCCC=COC=C1 C1=CCCC=CCOC=CCC[CH2:1]C=COC=C1
C1=CCCC=CCOC=CCCCC=COC=C1 C1=CCCC=C[CH2:1]OC=CCCCC=COC=C1
C1=CCCC=CCOC=CCCCCC=COC=C1 C1=CCCC=CCOC=CCCC[CH2:1]C=COC=C1
C1=CCCC=CCOCC=CC=CCOC=CC=CCCC=CCOCC=CC=CCOC=C1 C1=CCCC=CCOCC=CC=CCOC=CC=CCCC=[CH:1]COCC=CC=CCOC=C1
C1=CCCC=CCOCC=CC=CCOC=CC=CCCC=CCOCC=CC=CCOC=C1 C1=CCCC=CCOCC=CC=CCOC=CC=[CH:1]CCC=CCOCC=CC=CCOC=C1
C1=CCCC=CCOCC=CC=CCOCC=CCCC=CC=COCC=CC=CCOC=C1 C1=CCCC=CCOCC=CC=CCOC[CH:1]=CCCC=CC=COCC=CC=CCOC=C1
C1=CCCC=CCOCC=CC=CCOCC=CCCCC=CCOCC=CC=CCOC=C1 C1=CCCC=CCOCC=CC=CCOC[CH:1]=CCCCC=CCOCC=CC=CCOC=C1
C1=CCCC=CCOCC=CCC=CCCCOCC=CC1 C1=CCCC=CCOCC=CCC=CCC[CH2:1]OCC=CC1
C1=CCCC=CCOCC=CCCCCC=COC=C1 C1=CCCC=C[CH2:1]OCC=CCCCCC=COC=C1
C1=CCCC=CCOCC=CCCCCCC=C1 C1=CCCC=CCOCC=CCCCC[CH2:1]C=C1
C1=CCCC=CCOCC=CCCCCCC=C1 C1=CCCCCCC=CCOCC=CCC[CH:1]=C1
C1=CCCC=CCOCC=CCCCCCC=C1 C1=CCCCCCC=CCOCC=[CH:1]CCC=C1
C1=CCCC=CCOCCC=C1 C1=CCCC=CCO[CH2:1]CC=C1
C1=CCCC=CCOCCC=CC1 C1=CCCC=[CH:1]COCCC=CC1
C1=CCCC=CCOCCC=CCC1 C1=CCCC=CC[CH2:1]OCC=CCC1
C1=CCCC=CCOCCCCC=C1 C1=CCCC=[CH:1]COCCCCC=C1
C1=CCCC=CCOCCCCC=C1 C1=CCCCCOCC=[CH:1]CCC=C1
C1=CCCC=CCOCCCCC=C1 C1=CCCCCOC[CH:1]=[CH:1]CCC=C1
C1=CCCC=CCOCCCCCC=COC=C1 C1=CCCC=CCOCCCC[CH2:1]C=COC=C1
C1=CCCC=CCOCCCCCC=COC=C1 C1=CCCC=CCOC[CH2:1]CCCC=COC=C1
C1=CCCC=CCOCCCCCCC=C1 C1=CCCC=CCOCC[CH2:1]CCCC=C1
C1=CCCC=CCOCCCCCCC=C1 C1=CCCC=CCO[CH2:1]CCCCCC=C1
C1=CCCC=CCOCCCCCCC=C1 C1=CCCC=CCO[CH2:1][CH2:1][CH2:1]CCCC=C1
C1=CCCC=CCOCCCCCCC=C1 C1=CCCCCCCOCC=[CH:1]CCC=C1
C1=CCCC=CCOCCCCCOC=CC=CCCC=CCOCCCCCOC=C1 C1=CCCC=CCOCCCCCOC=CC=CCCC=[CH:1]COCCCCCOC=C1
C1=CCCC=CCOCCCCCOC=CC=CCCC=CCOCCCCCOC=C1 C1=CCCC=CCOCCCCCOC=CC=[CH:1]CCC=CCOCCCCCOC=C1
C1=CCCC=CCOCCCCCOCC=CCCC=CC=COCCCCCOC=C1 C1=CCCC=CCOCCCCCOC[CH:1]=CCCC=CC=COCCCCCOC=C1
C1=CCCC=CCOCCCCCOCC=CCCCC=CCOCCCCCOC=C1 C1=CCCC=CCOCCCCCOC[CH:1]=CCCCC=CCOCCCCCOC=C1
C1=CCCC=CN=CN=C1 C1=CN=CN=[CH:1]C=CCC1
C1=CCCC=CNCC=CCC1 C1=CCCC=C[NH:1]CC=CCC1
C1=CCCC=CNCC=CCC1 C1=CCNC=CCC[CH:1]=CCC1
C1=CCCC=CNCCCCCCCCCCC=C1 C1=CCCC=CNCCCCCCCCC[CH2:1]C=C1
C1=CCCC=CNCCCCCCCCCCC=C1 C1=CCCC=CNCC[CH2:1]CCCCCCCC=C1
C1=CCCC=COC=CCCCCC=COC=C1 C1=CCCC=COC=CCCC[CH2:1]C=COC=C1
C1=CCCC=COC=CCCCCC=COC=C1 C1=CCC[CH:1]=COC=CCCCCC=COC=C1
C1=CCCC=COCC=CCCCC=COC=C1 C1=CCCC=CO[CH2:1]C=CCCCC=COC=C1
C1=CCCC=COCC=CCCCC=COC=C1 C1=CCC[CH:1]=COCC=CCCCC=COC=C1
C1=CCCC=NCCC=CC=CNCCNCCNCCNC=C1 C1=CCCC=NCCC=CC=CN[CH2:1]CNCCNCCNC=C1
C1=CCCC=NCCCC=CCNCCNCCNCCNC=C1 C1=CCCC=NCCCC=CCN[CH2:1]CNCCNCCNC=C1
C1=CCCC=NCCCCNCC=C1 C1=CCCC=NC[CH2:1]CCNCC=C1
C1=CCCC=NCCCN=CCC1 C1=CCCC=NC[CH2:1]CN=CCC1
C1=CCCC=NCCCN=CCC1 C1=CCCC=N[CH2:1]CCN=CCC1
C1=CCCC=NCCCN=CCC1 C1=CCCC=N[CH2:1][CH2:1]CN=CCC1
C1=CCCCC1 C1=CC[CH2:1]CC1
C1=CCCCC1 C1=CC[CH2:1][CH2:1]C1
C1=CCCCC1 C1=C[CH2:1]CCC1
C1=CCCCC1 C1=C[CH2:1][CH2:1]CC1
C1=CCCCC1 C1=C[CH2:1][CH2:1][CH2:1]C1
C1=CCCCC1 C1=[CH:1]CCCC1
C1=CCCCC1 C1=[CH:1][CH2:1]CCC1
C1=CCCCC1 C1=[CH:1][CH2:1][CH2:1]CC1
C1=CCCCC1 C1CC[CH:1]=[CH:1]C1
C1=CCCCC1 C1[CH2:1][CH:1]=[CH:1][CH2:1][CH2:1]1
C1=CCCCC=C1 C1=CCCC[CH:1]=C1
C1=CCCCC=C1 C1=CCC[CH2:1]C=C1
C1=CCCCC=C1 C1=CCC[CH2:1][CH:1]=C1
C1=CCCCC=C1 C1=CC[CH2:1]CC=C1
C1=CCCCC=C1 C1=CC[CH2:1][CH2:1]C=C1
C1=CCCCC=C1 C1=C[CH2:1][CH2:1][CH2:1]C=C1
C1=CCCCC=C1 C1=C[CH:1]=CCCC1
C1=CCCCC=C1 C1=C[CH:1]=[CH:1]CCC1
C1=CCCCC=C1 C1=[CH:1][CH:1]=CCCC1
C1=CCCCC=CC1 C1=CCCC[CH:1]=CC1
C1=CCCCC=CC1 C1=CCC[CH2:1]C=CC1
C1=CCCCC=CC1 C1=CCC[CH2:1][CH:1]=CC1
C1=CCCCC=CC1 C1=CC[CH:1]=CCCC1
C1=CCCCC=CC1 C1=C[CH2:1]C=CCCC1
C1=CCCCC=CC=CCCCCCC=C1 C1=CCCCC=CC=C[CH2:1]CCCCC=C1
C1=CCCCC=CCC1 C1=CCC[CH2:1]C=CCC1
C1=CCCCC=CCC=CCCCC=CC1 C1=CCCCC=CCC=C[CH2:1]CCC=CC1
C1=CCCCC=CCC=CCCCC=CC1 C1=CCCCC=CC[CH:1]=CCCCC=CC1
C1=CCCCC=CCC=CCCCC=CC1 C1=CCCCC=CC[CH:1]=[CH:1][CH2:1]CCC=CC1
C1=CCCCC=CCC=CCCCCCC=C1 C1=CCCCC=CCC=CCCCC[CH2:1]C=C1
C1=CCCCC=CCCC1 C1=CCCC[CH:1]=CCCC1
C1=CCCCC=CCCC1 C1=CCC[CH2:1]C=CCCC1
C1=CCCCC=CCCC1 C1=CC[CH2:1]CC=CCCC1
C1=CCCCC=CCCC1 C1=CC[CH2:1][CH2:1]C=CCCC1
C1=CCCCC=CCCC=CCCCCCNCC=C1 C1=CCC[CH2:1]C=CCCC=CCCCCCNCC=C1
C1=CCCCC=CCCC=CCCCCCNCC=C1 C1=CCNCCCCCC=CCCC=CC[CH2:1]CC=C1
C1=CCCCC=CCCC=CCCCCCNCC=C1 C1=CCNCCCCCC=CCCC=C[CH2:1][CH2:1]CC=C1
C1=CCCCC=CCCC=CCOCCCC=CCC1 C1=CCCCOCC=CCCC=CCCC[CH:1]=CCC1
C1=CCCCC=CCCCC=C1 C1=CCCCC=CCCC[CH:1]=C1
C1=CCCCC=CCCCC=C1 C1=CCCCC=C[CH2:1]CCC=C1
C1=CCCCC=CCCCC=C1 C1=CCCCC=[CH:1]C=CCCC1
C1=CCCCC=CCCCC=C1 C1=CCCCC=[CH:1]CCCC=C1
C1=CCCCC=CCCCC=CCC1 C1=CCCCC=CCCC[CH:1]=CCC1
C1=CCCCC=CCCCC=CCC1 C1=CCCCC=CCC[CH2:1]C=CCC1
C1=CCCCC=CCCCC=CCC1 C1=CCCCC=CC[CH2:1]CC=CCC1
C1=CCCCC=CCCCC=CCC1 C1=CCCCC=CC[CH2:1][CH2:1]C=CCC1
C1=CCCCC=CCCCC=CCC1 C1=CCCCC=[CH:1]CCC=CCCC1
C1=CCCCC=CCCCC=CCC1 C1=CCCCC=[CH:1]CCCC=CCC1
C1=CCCCC=CCCCC=CCCCC=CCCC1 C1=CCCCC=CC[CH2:1]CC=CCCCC=CCCC1
C1=CCCCC=CCCCC=CCCCCNCC=C1 C1=CCNCCCCC=CCCCC=CC[CH2:1]CC=C1
C1=CCCCC=CCCCCC=CC1 C1=CCCCC=CCCC[CH2:1]C=CC1
C1=CCCCC=CCCCCC=CC1 C1=CCCCC=CCC[CH2:1]CC=CC1
C1=CCCCC=CCCCCC=CC1 C1=CCCCC=CCC[CH2:1][CH2:1]C=CC1
C1=CCCCC=CCCCCC=CC1 C1=CCCCC=CC[CH2:1]CCC=CC1
C1=CCCCC=CCCCCC=CC1 C1=CCCCCC=CCCC[CH:1]=CC1
C1=CCCCC=CCCCCC=CC1 C1=CCCCCC=CC[CH:1]=CCCC1
C1=CCCCC=CCCCCC=CCC1 C1=CCCCC=CCC[CH2:1]CC=CCC1
C1=CCCCC=CCCCCC=CCC1 C1=CCCCC=CC[CH2:1]CCC=CCC1
C1=CCCCC=CCCCCC=CCC1 C1=CCCCC=CC[CH2:1][CH2:1]CC=CCC1
C1=CCCCC=CCCCCC=CCC1 C1=CCCCCC=[CH:1]CCC=CCCC1
C1=CCCCC=CCCCCCC=C1 C1=CCCCC=CCCCC[CH2:1]C=C1
C1=CCCCC=CCCCCCC=C1 C1=CCCCCCC=CCCC[CH:1]=C1
C1=CCCCC=CCCCCCC=CCCCC=C1 C1=CCCCC=CCCCCCC=C[CH2:1]CCC=C1
C1=CCCCC=CCCCCCCC=C1 C1=CCCCC=CCCCCC[CH2:1]C=C1
C1=CCCCC=CCCCCCCC=COC=C1 C1=CCCCC=CC[CH2:1]CCCCC=COC=C1
C1=CCCCC=CCCCCCCCOC=C1 C1=CCCCC=C[CH2:1]CCCCCCOC=C1
C1=CCCCC=CCCCOC=C1 C1=CCCCC=CCC[CH2:1]OC=C1
C1=CCCCC=CCCCOCCCC=CCCC1 C1=CCCCOCCCC=CC[CH2:1]CC=CCCC1
C1=CCCCC=CCCN=CCC1 C1=CCCCC=CC[CH2:1]N=CCC1
C1=CCCCC=CCCN=CCC1 C1=CCCCC=C[CH2:1]CN=CCC1
C1=CCCCC=CCCN=CCC1 C1=CCCCC=C[CH2:1][CH2:1]N=CCC1
C1=CCCCC=CCC[NH+]=CC=CNCCCCCCCCCCNC=CC=[NH+]CC=C1 C1=CCCCC=CCC[NH+]=CC=CNCCCCCCCCCCN[CH:1]=CC=[NH+]CC=C1
C1=CCCCC=CCC[NH+]=CC=CNCCCCCCCCCCNC=CC=[NH+]CC=C1 C1=CCCCC=CCC[NH+]=CC=[CH:1]NCCCCCCCCCCNC=CC=[NH+]CC=C1
C1=CCCCC=CCNCCCCC=CC1 C1=CCCCCNCC=CCC[CH2:1]C=CC1
C1=CCCCC=CCNCCCCC=CC1 C1=CCCCCNCC=CC[CH2:1]CC=CC1
C1=CCCCC=CCNCCCCC=CC1 C1=CCCCCNCC=CC[CH2:1][CH2:1]C=CC1
C1=CCCCC=CCNCCCCCCOC=C1 C1=CCNCCCCCCOC=[CH:1]C=CCCC1
C1=CCCCC=CCNCCNCCNCCNCCNCCC=CC1 C1=CCCNCCNCCNCCNCCNCC=C[CH2:1]CCC=CC1
C1=CCCCC=CCOC=CCCCC=C1 C1=CCCCC=CCOC=CCCC[CH:1]=C1
C1=CCCCC=CCOC=CCCCC=C1 C1=CCCCC=CCOC=CCC[CH2:1]C=C1
C1=CCCCC=CCOC=CCCCC=C1 C1=CCCCC=COCC=CCC[CH2:1]C=C1
C1=CCCCC=CCOC=CCCCC=C1 C1=CCOC=CCCCC=C[CH:1]=CCCC1
C1=CCCCC=CCOC=CCCCC=C1 C1=CCOC=CCCCC=[CH:1]C=CCCC1
C1=CCCCC=CCOC=CCCCC=C1 C1=CCOC=CCC[CH2:1][CH:1]=[CH:1]C=CCCC1
C1=CCCCC=CCOC=CCCCC=C1 C1=COCC=CCC[CH2:1][CH:1]=[CH:1]C=CCCC1
C1=CCCCC=CCOC=CCCCC=CCOC=C1 C1=CCCCC=CCOC=C[CH2:1]CCC=CCOC=C1
C1=CCCCC=CCOC=CCCCCCC=C1 C1=CCCCC=CCOC=CCCCC[CH2:1]C=C1
C1=CCCCC=CCOC=CCCCCCOC=C1 C1=CCCCC=CCOC=C[CH2:1]CCCCOC=C1
C1=CCCCC=CCOCC=CCC1 C1=CCCCC=CCO[CH2:1]C=CCC1
C1=CCCCC=CCOCC=CCC1 C1=CCCCC=[CH:1]COCC=CCC1
C1=CCCCC=CCOCC=CCC1 C1=CCC[CH2:1]C=CCOCC=CCC1
C1=CCCCC=CCOCC=CCC1 C1=CCOCC=CCC[CH2:1]C=CCC1
C1=CCCCC=CCOCC=CCCCC=COC=C1 C1=CCCCC=CCOCC=CCC[CH2:1]C=COC=C1
C1=CCCCC=CCOCCCCCC=C1 C1=CCCCC=CCOCCCC[CH2:1]C=C1
C1=CCCCC=CCOCCCCCC=C1 C1=CCOCCCCCC=[CH:1]C=CCCC1
C1=CCCCC=CCOCCCCCC=C1 C1=CCOCCCC[CH2:1][CH:1]=[CH:1]C=CCCC1
C1=CCCCC=CCOCCCCCC=COC=C1 C1=CCCCC=CCOCCCC[CH2:1]C=COC=C1
C1=CCCCC=CCOCCCCCCNC=C1 C1=CCC[CH2:1]C=CCOCCCCCCNC=C1
C1=CCCCC=CCOCCCCCCOC=C1 C1=CCCCC=[CH:1]COCCCCCCOC=C1
C1=CCCCC=CCOCCCCCCOC=C1 C1=COCCCCCCOCC=CCCC[CH:1]=C1
C1=CCCCC=CCOCCOCCOC=C1 C1=CCCCC=[CH:1]COCCOCCOC=C1
C1=CCCCC=CCOCCOCCOC=C1 C1=COCCOCCOCC=CCCC[CH:1]=C1
C1=CCCCC=COC=CC=CCCCC=COC=C1 C1=CCCCC=COC=CC=CCC[CH2:1]C=COC=C1
C1=CCCCC=COC=CC=CCCCCC=C1 C1=CCCCC=COC=CC=CCCC[CH2:1]C=C1
C1=CCCCC=COC=CC=CCCCCC=C1 C1=CCCCC=COC=CC=CCC[CH2:1]CC=C1
C1=CCCCC=COC=CC=CCCCCC=C1 C1=CCCCCC=CC=COC=C[CH2:1]CCC=C1
C1=CCCCC=COC=CC=CCCCCC=C1 C1=CCCCCC=CC=[CH:1]CCCC=COC=C1
C1=CCCCC=COC=CCCCC=CCOC=C1 C1=CCCCC=COC=C[CH2:1]CCC=CCOC=C1
C1=CCCCC=COC=CCCCC=CCOC=C1 C1=CCC[CH2:1]C=COC=CCCCC=CCOC=C1
C1=CCCCC=COC=CCCCC=COC=C1 C1=CCCCC=COC=C[CH2:1]CCC=COC=C1
C1=CCCCC=COC=CCCCC=COC=C1 C1=CCC[CH2:1]C=COC=CCCCC=COC=C1
C1=CCCCC=COC=CCCCCC=COCC=C1 C1=CCC[CH2:1]C=COC=CCCCCC=COCC=C1
C1=CCCCC=COC=CCCCCCOC=C1 C1=CCCCC=COC=CCCC[CH2:1]COC=C1
C1=CCCCC=COC=CCCCCCOC=C1 C1=CCCCC=COC=C[CH2:1]CCCCOC=C1
C1=CCCCC=COC=CCCCCCOC=C1 C1=CCC[CH2:1]C=COC=CCCCCCOC=C1
C1=CCCCC=COC=CCOCCCOC=C1 C1=CCC[CH2:1]C=COC=CCOCCCOC=C1
C1=CCCCC=COCC=CC=CCCCCOC=C1 C1=CCCCCOC=CC=CCC[CH2:1]C=COCC=C1
C1=CCCCC=COCC=CCCCC=CCOC=C1 C1=CCCCC=COCC=CCCCC=C[CH2:1]OC=C1
C1=CCCCC=COCC=CCCCCC=COC=C1 C1=CCCCC=COCC=CCCC[CH2:1]C=COC=C1
C1=CCCCC=COCC=CCCCCC=COC=C1 C1=CCC[CH2:1]C=COCC=CCCCCC=COC=C1
C1=CCCCC=COCC=CCCCCCC=C1 C1=CCCCC=COCC=CCCCC[CH2:1]C=C1
C1=CCCCC=COCC=CCCCCCC=C1 C1=CCCCC=COCC=CCCC[CH2:1]CC=C1
C1=CCCCC=COCC=CCCCCCC=C1 C1=CCCCCCC=CCOC=CCCC[CH:1]=C1
C1=CCCCC=COCC=CCCCCCC=C1 C1=CCCCCCC=CCOC=C[CH2:1]CCC=C1
C1=CCCCC=COCC=CCCCCOC=C1 C1=CCC[CH2:1]C=COCC=CCCCCOC=C1
C1=CCCCC=COCCC=CCCCCCOC=C1 C1=CCC[CH2:1]C=COCCC=CCCCCCOC=C1
C1=CCCCC=COCCCCCC=COC=C1 C1=CCCCC=COCCCC[CH2:1]C=COC=C1
C1=CCCCC=COCCCCCC=COC=C1 C1=CCCCC=COC[CH2:1]CCCC=COC=C1
C1=CCCCC=COCCCCCC=COC=C1 C1=CCCCC=CO[CH2:1]CCCCC=COC=C1
C1=CCCCC=COCCCCCC=COC=C1 C1=CCC[CH2:1]C=COCCCCCC=COC=C1
